"","Model","Category","HR","lower_conf","upper_conf","CI","P","P for trend"
"1","Model 1","expo_lmr_cat",1.052,1.025,1.079,"1.025, 1.079",0.000143600197013959,"0.000143600197013959"
"2","Model 1","age",0.963,0.961,0.966,"0.961, 0.966",7.17589423933935e-227,"NA"
"3","Model 2","expo_lmr_cat",1.055,1.013,1.099,"1.013, 1.099",0.0102642901310591,"0.0102642901310591"
"4","Model 2","age",0.964,0.96,0.967,"0.96, 0.967",4.91398151350769e-80,"NA"
"5","Model 1","expo_sii_cat",0.862,0.841,0.884,"0.841, 0.884",3.53833460017625e-31,"3.53833460017625e-31"
"6","Model 1","age",0.963,0.961,0.965,"0.961, 0.965",1.14668598919835e-235,"NA"
"7","Model 2","expo_sii_cat",0.844,0.812,0.877,"0.812, 0.877",1.21570441854096e-17,"1.21570441854096e-17"
"8","Model 2","age",0.963,0.959,0.967,"0.959, 0.967",3.31217137653903e-84,"NA"
"9","Model 1","expo_npar_cat",0.901,0.878,0.924,"0.878, 0.924",2.86324913019279e-16,"2.86324913019279e-16"
"10","Model 1","age",0.963,0.961,0.966,"0.961, 0.966",3.68732746199597e-226,"NA"
"11","Model 2","expo_npar_cat",0.874,0.84,0.909,"0.84, 0.909",2.41741140808317e-11,"2.41741140808317e-11"
"12","Model 2","age",0.964,0.96,0.968,"0.96, 0.968",4.96692098205785e-80,"NA"
"13","Model 1","expo_nps_cat",0.84,0.795,0.889,"0.795, 0.889",8.72674789282492e-10,"8.72674789282492e-10"
"14","Model 1","age",0.963,0.961,0.965,"0.961, 0.965",3.17993147489298e-231,"NA"
"15","Model 2","expo_nps_cat",0.823,0.755,0.898,"0.755, 0.898",1.02701669718594e-05,"1.02701669718594e-05"
"16","Model 2","age",0.964,0.96,0.967,"0.96, 0.967",4.43139548770419e-82,"NA"
